dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
NEU-DET,V-PEFT,neu_det_vpeft_seed824,11,1.58779,3.00748,1.73854,6.33381,2.14343,3.66245,2.12357,7.92945,0.13641,0.20846,0.12367,0.04848,0.00067725
NEU-DET,V-PEFT,neu_det_vpeft_seed824,12,1.62169,2.91949,1.75507,6.296250000000001,2.05128,3.64228,2.07785,7.7714099999999995,0.20172,0.24771,0.16889,0.0703,0.0006357013333333333
NEU-DET,V-PEFT,neu_det_vpeft_seed824,13,1.53882,2.78078,1.6797,5.9993,2.01757,3.69058,2.09118,7.799329999999999,0.22492,0.28812,0.20665,0.09294,0.0005921668333333333
NEU-DET,V-PEFT,neu_det_vpeft_seed824,14,1.58538,2.70313,1.7006,5.989109999999999,1.92864,3.52058,2.04221,7.491429999999999,0.28925,0.28785,0.25702,0.11128,0.0005471245
NEU-DET,V-PEFT,neu_det_vpeft_seed824,15,1.59867,2.90071,1.7695,6.26888,1.86944,3.4486,2.00493,7.32297,0.27759,0.3391,0.2844,0.12326,0.0005010676666666666
NEU-DET,V-PEFT,neu_det_vpeft_seed824,16,1.58242,2.65093,1.72723,5.96058,1.84799,3.32252,1.98511,7.15562,0.3283,0.31466,0.29106,0.12952,0.00045450000000000004
NEU-DET,V-PEFT,neu_det_vpeft_seed824,17,1.52976,2.63918,1.70527,5.87421,1.86028,3.21627,2.00811,7.0846599999999995,0.42989,0.31446,0.31526,0.13653,0.00040793233333333333
NEU-DET,V-PEFT,neu_det_vpeft_seed824,18,1.50986,2.60461,1.65254,5.76701,1.84643,3.1574,1.99141,6.99524,0.49006,0.30903,0.33156,0.13881,0.00036187549999999995
NEU-DET,V-PEFT,neu_det_vpeft_seed824,19,1.50314,2.50468,1.67555,5.68337,1.81824,3.11657,1.95922,6.89403,0.32652,0.3772,0.33922,0.14568,0.00031683316666666667
NEU-DET,V-PEFT,neu_det_vpeft_seed824,20,1.54939,2.53051,1.70056,5.780460000000001,1.81942,3.09004,1.94546,6.85492,0.34438,0.39574,0.35027,0.15073,0.00027329866666666664
NEU-DET,V-PEFT,neu_det_vpeft_seed824,21,1.76665,3.10496,1.87534,6.74695,1.83131,3.0874,1.93724,6.85595,0.34824,0.36615,0.35956,0.15879,0.00023175
NEU-DET,V-PEFT,neu_det_vpeft_seed824,22,1.67445,2.95821,1.84161,6.47427,1.80717,3.0164,1.92553,6.7491,0.37874,0.38576,0.38781,0.17559,0.0001926415
NEU-DET,V-PEFT,neu_det_vpeft_seed824,23,1.70114,2.88775,1.85973,6.44862,1.78806,2.98791,1.91579,6.69176,0.40313,0.39226,0.39666,0.17985,0.00015640203333333334
NEU-DET,V-PEFT,neu_det_vpeft_seed824,24,1.62471,2.88962,1.8061,6.32043,1.77198,2.97827,1.90339,6.65364,0.41555,0.38257,0.3995,0.18276,0.00012342878333333334
NEU-DET,V-PEFT,neu_det_vpeft_seed824,25,1.61182,2.823,1.7676,6.20242,1.76234,2.94427,1.90342,6.610029999999999,0.43073,0.38752,0.40826,0.18655,9.408320000000001e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,26,1.55591,2.76083,1.75725,6.073989999999999,1.76748,2.90923,1.91332,6.59003,0.45391,0.36025,0.40986,0.18875,6.868566666666667e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,27,1.53945,2.65449,1.72565,5.9195899999999995,1.7644,2.89095,1.909,6.56435,0.47551,0.35492,0.41659,0.19095,4.7515499999999996e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,28,1.63222,2.7561,1.778,6.166320000000001,1.75518,2.90396,1.89871,6.55785,0.47485,0.35087,0.41118,0.18881,3.08043e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,29,1.62856,2.84318,1.7995,6.27124,1.7479,2.90045,1.89504,6.5433900000000005,0.43489,0.36329,0.41255,0.18645,1.8735216666666666e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,30,1.52914,2.71359,1.6965,5.93923,1.74377,2.891,1.88954,6.52431,0.49426,0.33687,0.41764,0.19123,1.1440521666666669e-05
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,1,3.6333,4.89734,2.15136,10.682,3.20435,4.84515,1.92207,9.97157,0.00054,0.0184,2e-05,1e-05,0.000132
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,2,2.50044,4.47015,1.5003,8.47089,1.91877,4.39921,1.21025,7.528230000000001,0.00763,0.14423,0.00308,0.00079,0.0002742542
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,3,2.07728,4.09476,1.30995,7.48199,1.7168,4.3333,1.119,7.1691,0.01498,0.2936,0.01191,0.00297,0.00041347880000000006
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,4,1.94404,3.72501,1.19808,6.86713,1.65983,4.15699,1.06301,6.87983,0.01692,0.49853,0.04458,0.01217,0.0005474084
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,5,1.94052,3.35622,1.15598,6.452719999999999,1.5766,3.91573,1.06809,6.56042,0.01734,0.67447,0.08885,0.03167,0.0006738718
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,6,1.84091,3.09197,1.16406,6.09694,1.6483,3.79629,1.08378,6.52837,0.09441,0.08133,0.09251,0.03736,0.0007908291999999999
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,7,1.78422,2.95559,1.12348,5.86329,1.56725,3.48386,1.07401,6.125119999999999,0.36012,0.11548,0.13617,0.05968,0.0008964079999999999
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,8,1.81081,2.8067,1.15445,5.77196,1.62431,3.20229,1.09581,5.92241,0.17929,0.22513,0.18187,0.07995,0.0009601418
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,9,1.72481,2.59099,1.13582,5.45162,1.55892,3.0539,1.06298,5.675800000000001,0.29969,0.25595,0.20365,0.08967,0.000919842
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,10,1.70764,2.51617,1.12558,5.3493900000000005,1.53227,2.74315,1.07085,5.3462700000000005,0.34834,0.46246,0.29949,0.13839,0.0008755498
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,11,1.65353,2.30873,1.12604,5.0883,1.65377,2.81378,1.11839,5.58594,0.28973,0.42413,0.23623,0.09031,0.00082775
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,12,1.58569,2.2309,1.09406,4.91065,1.78456,2.88929,1.15652,5.83037,0.25186,0.36667,0.19962,0.06321,0.0007769684
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,13,1.53426,2.15828,1.08858,4.7811200000000005,1.57384,2.31585,1.12751,5.0172,0.40185,0.51944,0.41389,0.19664,0.0007237602
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,14,1.69337,2.12312,1.12406,4.94055,1.98533,2.60359,1.25899,5.84791,0.36538,0.38925,0.31782,0.10494,0.0006687072
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,15,1.50356,2.09982,1.10181,4.70519,1.81331,2.44678,1.19431,5.4544,0.37868,0.44583,0.37369,0.14391,0.0006124154000000001
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,16,1.49115,1.99792,1.05136,4.54043,1.81518,2.41226,1.18629,5.413729999999999,0.40745,0.44869,0.39228,0.14096,0.0005555
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,17,1.37949,1.90681,1.0492,4.3355,1.43769,2.02778,1.08233,4.5478,0.48119,0.54442,0.50234,0.26884,0.000498584
