dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate,last_5_epoch_mean,previous_5_epoch_mean,delta,best_epoch,best_metric,last_epoch_metric,convergence_status
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,45,1.41696,1.60674,1.04261,4.06631,1.43751,1.68299,1.08191,4.2024099999999995,0.60747,0.6417,0.67197,0.34809,0.0005379785,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,46,1.34472,1.60767,1.02108,3.97347,1.37657,1.61779,1.06717,4.06153,0.62291,0.6525,0.69384,0.38038,0.0005241916666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,47,1.37441,1.64596,1.04479,4.06516,1.25601,1.53584,1.03868,3.8305300000000004,0.60578,0.6773,0.70483,0.43282,0.000510336,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,48,1.33533,1.57355,1.02925,3.93813,1.3243,1.54734,1.05468,3.9263200000000005,0.63813,0.68128,0.71364,0.41611,0.0004964255,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,49,1.25811,1.57853,1.00022,3.83686,1.32588,1.51849,1.05509,3.8994599999999995,0.68431,0.65829,0.72382,0.41986,0.000482473,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,50,1.301,1.48651,1.03191,3.81942,1.35527,1.51372,1.0599,3.92889,0.68357,0.67023,0.72539,0.41608,0.0004684931666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,51,1.31647,1.50592,1.02708,3.84947,1.24393,1.47059,1.03168,3.7462,0.68093,0.66856,0.72994,0.45766,0.00045450000000000004,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,52,1.36255,1.52873,1.04449,3.9357699999999998,1.28304,1.50971,1.04182,3.83457,0.70499,0.64481,0.72216,0.43829,0.00044050683333333334,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,53,1.35565,1.51439,1.0471,3.91714,1.45863,1.60562,1.08606,4.15031,0.65012,0.67203,0.71058,0.36999,0.00042652699999999995,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,54,1.32083,1.5083,1.01532,3.84445,1.42135,1.56125,1.0813,4.063899999999999,0.67726,0.67035,0.71672,0.38886,0.0004125745,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
