dataset,sample_size,method,seed,mAP50-95,mAP50,precision,recall,trainable_params,total_params,trainable_ratio,peak_gpu_memory,elapsed_time,gpu_hours,checkpoint_size,adapter_size,status,exit_code,run_id,source,device,gpu_name,split_hash,artifact_manifest_verified
DeepPCB,10,Frozen Backbone,826,0.215418634065637,0.37846660262143833,0.35362203154789773,0.4578721765342186,1225522,2591010,0.4729900695095735,1628.16,197.623,0.05489539,5498650,0,PASS,0,deeppcb_10_frozen_seed826_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,V-PEFT,824,0.19077031096601324,0.32715718697951,0.2688901753613395,0.4561916780021637,613602,2772770,0.2212956718371881,2662.4,243.842,0.06773381,6037266,763747,PASS,0,deeppcb_10_vpeft_seed824,immutable_p2_seed824,5,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,V-PEFT,825,0.19669251374924399,0.34082080674779736,0.3270683610292667,0.4325505363255899,613602,2772770,0.2212956718371881,2662.4,251.934,0.06998169,6037266,763747,PASS,0,deeppcb_10_vpeft_seed825_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,V-PEFT,826,0.18170001616161172,0.29433662889439655,0.2556723478435819,0.41889442307926156,613602,2772770,0.2212956718371881,2662.4,241.929,0.06720244,6037266,763747,PASS,0,deeppcb_10_vpeft_seed826_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,50,Full-SFT,824,0.5577085083655379,0.839925559666692,0.8217564339701902,0.7757698140053293,2590994,2591010,0.9999938248019112,2693.12,282.421,0.07845034,5498650,0,PASS,0,deeppcb_50_full_seed824,immutable_p2_seed824,3,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,Full-SFT,825,0.5794873457877341,0.8629847814720772,0.8397035298115942,0.8007802741189868,2590994,2591010,0.9999938248019112,2682.88,276.63,0.07684173,5498650,0,PASS,0,deeppcb_50_full_seed825_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,Full-SFT,826,0.5634949049935329,0.8412324563511655,0.8303306326740475,0.7641367349205065,2590994,2591010,0.9999938248019112,2693.12,272.183,0.07560641,5498650,0,PASS,0,deeppcb_50_full_seed826_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,Frozen Backbone,824,0.3803190963299724,0.6566594614332252,0.6270746194445215,0.6379773762561421,1225522,2591010,0.4729900695095735,1730.56,258.006,0.07166832,5498650,0,PASS,0,deeppcb_50_frozen_seed824,immutable_p2_seed824,4,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,Frozen Backbone,825,0.39515167166064313,0.6820029930276169,0.669854868676799,0.658746607628815,1225522,2591010,0.4729900695095735,1710.08,265.095,0.07363739,5498650,0,PASS,0,deeppcb_50_frozen_seed825_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,Frozen Backbone,826,0.39393626300327167,0.6807711644572393,0.6564946272370148,0.6670771456174789,1225522,2591010,0.4729900695095735,1720.32,252.055,0.07001535,5498650,0,PASS,0,deeppcb_50_frozen_seed826_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,V-PEFT,824,0.3562223855066213,0.5717866027841384,0.5151554190170827,0.605979390041225,613602,2772770,0.2212956718371881,2652.16,317.412,0.08817009,6037266,763748,PASS,0,deeppcb_50_vpeft_seed824,immutable_p2_seed824,5,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,V-PEFT,825,0.37737851106870923,0.5960694643803115,0.5281482310221637,0.6449727529434942,613602,2772770,0.2212956718371881,2641.92,331.941,0.09220588,6037266,763747,PASS,0,deeppcb_50_vpeft_seed825_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,50,V-PEFT,826,0.3789538906490525,0.6067435983735331,0.5637553336479929,0.6292448808611967,613602,2772770,0.2212956718371881,2652.16,314.415,0.08733757,6037266,763747,PASS,0,deeppcb_50_vpeft_seed826_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,0d31d1cc5ccb48ac53675916aee60fbcad92c538efb4c10b0c1d7f1431b456c6,True
DeepPCB,100,Full-SFT,824,0.63453779041467,0.920817740582632,0.9040055807388218,0.8557610669674177,2590994,2591010,0.9999938248019112,2672.64,369.01,0.10250289,5498650,0,PASS,0,deeppcb_full_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,Full-SFT,825,0.6600276818450954,0.925547061014835,0.9161817397019658,0.8656800895338791,2590994,2591010,0.9999938248019112,2652.16,375.69,0.10435844,5498650,0,PASS,0,deeppcb_full_seed825_e100,reused_p1_100_multiseed,3,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,Full-SFT,826,0.651232817709559,0.9213028064240264,0.8787144010147796,0.8762019116536198,2590994,2591010,0.9999938248019112,2672.64,376.652,0.10462554,5498650,0,PASS,0,deeppcb_full_seed826_e100,reused_p1_100_multiseed,3,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,Frozen Backbone,824,0.4754075812321887,0.7937581338005799,0.7524897325858726,0.7586984791698078,1225522,2591010,0.4729900695095735,1710.08,335.591,0.09321965,5498650,0,PASS,0,deeppcb_frozen_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,Frozen Backbone,825,0.5015658055447039,0.8255570711474004,0.8109592649187213,0.7553273822333662,1225522,2591010,0.4729900695095735,1699.84,343.248,0.0953468,5498650,0,PASS,0,deeppcb_frozen_seed825_e100,reused_p1_100_multiseed,4,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,Frozen Backbone,826,0.47609064156689274,0.798599873648271,0.789292572727485,0.748471989692464,1225522,2591010,0.4729900695095735,1710.08,341.509,0.09486375,5498650,0,PASS,0,deeppcb_frozen_seed826_e100,reused_p1_100_multiseed,4,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,V-PEFT,824,0.5115343793414727,0.77943534341831,0.7590504309490184,0.7177333864140611,613602,2772770,0.2212956718371881,2641.92,412.135,0.1144819,6037266,763747,PASS,0,deeppcb_vpeft_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,V-PEFT,825,0.5326706292011492,0.8115742742654969,0.7988185476195594,0.7388613248812869,613602,2772770,0.2212956718371881,2621.44,420.863,0.11690649,6037266,763748,PASS,0,deeppcb_vpeft_seed825_e100,reused_p1_100_multiseed,5,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,100,V-PEFT,826,0.5056152182933827,0.7965369054748241,0.7792266155600903,0.7344405540431703,613602,2772770,0.2212956718371881,2631.68,438.235,0.12173208,6037266,763748,PASS,0,deeppcb_vpeft_seed826_e100,reused_p1_100_multiseed,5,NVIDIA GeForce RTX 4090,bc1860750bd504ef7735689008305e14f24faf9dc17d2a45cecd23a0e31e3abe,True
DeepPCB,500,Full-SFT,824,0.7006209618146635,0.9659816628900953,0.9517113028464935,0.9305506300269483,2590994,2591010,0.9999938248019112,2652.16,1154.634,0.32073176,5498650,0,PASS,0,deeppcb_500_full_seed824,immutable_p2_seed824,3,NVIDIA GeForce RTX 4090,762ca09621fa34c1a535b7b8c253d122ce51a59f21834c0af8a4164edd1bb5eb,True
DeepPCB,500,Full-SFT,825,0.6921904117500987,0.9684541206876854,0.9512020616554163,0.9360947201701716,2590994,2591010,0.9999938248019112,2652.16,1170.385,0.32510682,5498650,0,PASS,0,deeppcb_500_full_seed825_e100,new_p2_multiseed,3,NVIDIA GeForce RTX 4090,762ca09621fa34c1a535b7b8c253d122ce51a59f21834c0af8a4164edd1bb5eb,True
DeepPCB,500,Full-SFT,826,0.7091270881490792,0.9687409096755859,0.9659875672059769,0.9292176537238283,2590994,2591010,0.9999938248019112,2652.16,1156.172,0.32115878,5498650,0,PASS,0,deeppcb_500_full_seed826_e100,new_p2_multiseed,1,NVIDIA GeForce RTX 4090,762ca09621fa34c1a535b7b8c253d122ce51a59f21834c0af8a4164edd1bb5eb,True
DeepPCB,500,Frozen Backbone,824,0.5885262975446927,0.919980308660857,0.8984212781527989,0.8726013401627641,1225522,2591010,0.4729900695095735,1699.84,1057.445,0.29373464,5498650,0,PASS,0,deeppcb_500_frozen_seed824,immutable_p2_seed824,4,NVIDIA GeForce RTX 4090,762ca09621fa34c1a535b7b8c253d122ce51a59f21834c0af8a4164edd1bb5eb,True
DeepPCB,500,Frozen Backbone,825,0.6053362592087985,0.929881199573376,0.895524848468464,0.8910712779157085,1225522,2591010,0.4729900695095735,1699.84,1066.02,0.29611667,5498650,0,PASS,0,deeppcb_500_frozen_seed825_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,762ca09621fa34c1a535b7b8c253d122ce51a59f21834c0af8a4164edd1bb5eb,True
