dataset,sample_size,method,seed,map50_95,map50,precision,recall,trainable_parameters,total_parameters,peak_gpu_memory_mib,training_seconds,gpu_hours,run_id,metrics_path,metrics_sha256,checkpoint_path,checkpoint_sha256,source,status
DeepPCB,500,Full-SFT,825,0.6921904117500987,0.9684541206876854,0.9512020616554163,0.9360947201701716,2590994,2591010,2652.16,1170.385,0.32510682,deeppcb_500_full_seed825_e100,smoke/c3/p2/logs/deeppcb_500_full_seed825_e100/metrics.json,f0549e662b948fce3f66e632c42cb4a0dd65771a7deb2294cc30136922e2422d,smoke/c3/p2/artifacts/deeppcb_500_full_seed825_e100/weights/best.pt,4d0e7c7f59bb1de08929617ff281c07be5762a9c3744890b5128df1ae4c6ad4e,reused_verified_existing_full_or_frozen,PASS
DeepPCB,500,Full-SFT,826,0.7091270881490792,0.9687409096755859,0.9659875672059769,0.9292176537238283,2590994,2591010,2652.16,1156.172,0.32115878,deeppcb_500_full_seed826_e100,smoke/c3/p2/logs/deeppcb_500_full_seed826_e100/metrics.json,d5bee6709752f0ba92945e02bb08400ca5d45ec1dec062b44bc3aa7179b1a81c,smoke/c3/p2/artifacts/deeppcb_500_full_seed826_e100/weights/best.pt,26b806d92f4f700dfde345c6a3ccb054b3a7eee50fd182dec1beff0696cf6d24,reused_verified_existing_full_or_frozen,PASS
DeepPCB,500,V-PEFT <=10%,824,0.5857949891052148,0.87500775566118,0.8714647761948076,0.8492369884330416,195410,2772770,2580.48,1224.58,0.34016107,final_deeppcb_500_vpeft_b250k_predictors_seed824_e100,smoke/c3/completion/logs/final/final_deeppcb_500_vpeft_b250k_predictors_seed824_e100/metrics.json,11252d5a5044a50b4fe5675df7699de1133a2cebcfa38e211e938532ec5a86ce,smoke/c3/completion/artifacts/final/final_deeppcb_500_vpeft_b250k_predictors_seed824_e100/weights/best.pt,30dd79374dbff47feb9159eacade900b4eed44d1af6ebf964ed527d6aaf438ae,new_selected_efficiency_matrix,PASS
DeepPCB,500,V-PEFT <=10%,825,0.6020743256437093,0.8910924796096564,0.8610317034433873,0.8415844530763157,195410,2772770,2580.48,1255.043,0.34862306,final_deeppcb_500_vpeft_b250k_predictors_seed825_e100,smoke/c3/completion/logs/final/final_deeppcb_500_vpeft_b250k_predictors_seed825_e100/metrics.json,7b4c21ea3549d1943d9b0775b18245c50dad28af8bb72bb617a6d533d96622c0,smoke/c3/completion/artifacts/final/final_deeppcb_500_vpeft_b250k_predictors_seed825_e100/weights/best.pt,bd8ad8d23eaaba0394e05f40b19b0082444bfef715a2ed07312f04f9fa171e49,new_selected_efficiency_matrix,PASS
DeepPCB,500,V-PEFT <=10%,826,0.6348812713385719,0.9092820385493111,0.9067983967155017,0.8445144358689772,195410,2772770,2580.48,1247.177,0.346438,final_deeppcb_500_vpeft_b250k_predictors_seed826_e100,smoke/c3/completion/logs/final/final_deeppcb_500_vpeft_b250k_predictors_seed826_e100/metrics.json,4bc33280340641a716293c0101d51bc1de6f31baafc8402dce18d3c7fb3e25db,smoke/c3/completion/artifacts/final/final_deeppcb_500_vpeft_b250k_predictors_seed826_e100/weights/best.pt,40c3a2b8e287535ca4706827c55b84702047a0fbbd365d8f7e21a4c1790b10d4,new_selected_efficiency_matrix,PASS
NEU-DET,10,Frozen Backbone,824,0.1432168465387196,0.321545558491162,0.34501196282443924,0.3518998809922345,1225522,2591010,1607.68,175.853,0.048848,neu_10_frozen_seed824,smoke/c3/p2/logs/neu_10_frozen_seed824/metrics.json,84266859e625c89db54273fbd0a22bf4eb8daa6558863594998cbe584aa4b85f,smoke/c3/p2/artifacts/neu_10_frozen_seed824/weights/best.pt,b2cb13260e00b777586f1262a35f99086cbbf7ab9ca8fd4e3a52ecc565ac66df,reused_verified_existing_full_or_frozen,PASS
NEU-DET,10,Frozen Backbone,825,0.13126612064098372,0.31611071832588733,0.35675643399458196,0.37371235828741356,1225522,2591010,1607.68,178.592,0.04960889,neu_10_frozen_seed825_e100,smoke/c3/p2/logs/neu_10_frozen_seed825_e100/metrics.json,50c75d0abab5d6ea1cdcc03a88013a1ff22b04f15ab355ae47fd7c73afc72cee,smoke/c3/p2/artifacts/neu_10_frozen_seed825_e100/weights/best.pt,607d52810fe627c21f2359a23c49c3b44c3132c00afdec1ad8c3147d3f333c46,reused_verified_existing_full_or_frozen,PASS
NEU-DET,10,Frozen Backbone,826,0.12314085013721812,0.3260779347921708,0.3336500001477501,0.41824388403142293,1225522,2591010,1607.68,174.72,0.04853342,neu_10_frozen_seed826_e100,smoke/c3/p2/logs/neu_10_frozen_seed826_e100/metrics.json,ae456f0a354b7206e77472c284eb68f2d0aeb663a5064487d0bd8451b8bb9030,smoke/c3/p2/artifacts/neu_10_frozen_seed826_e100/weights/best.pt,bcd1dabfbdf6e6040d328ebf9d42dc81c15d6bc5f1632541a49db11bea8c2a45,reused_verified_existing_full_or_frozen,PASS
NEU-DET,10,Full-SFT,824,0.1214267962147083,0.2870734620766395,0.2909257534165233,0.38133581523049825,2590994,2591010,2682.88,192.668,0.0535189,neu_10_full_seed824,smoke/c3/p2/logs/neu_10_full_seed824/metrics.json,0511f21b3a92f6f052a42b368d25a43cc7b90a7148b92b69a58115a544d538de,smoke/c3/p2/artifacts/neu_10_full_seed824/weights/best.pt,9f48274486e0eef1b3a9502ffa27eb906ab354eefdff88803f42e4d0996a6b5b,reused_verified_existing_full_or_frozen,PASS
NEU-DET,10,Full-SFT,825,0.10900340745668088,0.28428129526727824,0.3210938526984269,0.3564586780329006,2590994,2591010,2682.88,193.67,0.05379711,neu_10_full_seed825_e100,smoke/c3/p2/logs/neu_10_full_seed825_e100/metrics.json,ed2590179bb4b5b9ec887cdd9f7527e1bc7e175e03722e7683a3f54a4b43e4b3,smoke/c3/p2/artifacts/neu_10_full_seed825_e100/weights/best.pt,d8157a71163ff7bf9132c11d42e01c4cda9b7609aecec314cb8754729b5d0485,reused_verified_existing_full_or_frozen,PASS
