dataset,sample_size,class_name,baseline,augmentation,metric,seed824_delta,seed825_delta,seed826_delta,mean,sample_std,ci95_lower,ci95_upper,significant_positive_95ci,significant_negative_95ci
deeppcb,500,open,baseline,medium,ap50_95,0.06671802267295535,0.06819290228833053,0.04632510814267199,0.06041201103465262,0.012221883745398314,0.030051168712312427,0.09077285335699281,True,False
deeppcb,500,open,baseline,medium,ap50,0.04050017696550501,0.05894955802509727,0.03862083823696005,0.046023524409187444,0.011233643099808512,0.018117607942984313,0.07392944087539058,True,False
deeppcb,500,open,baseline,medium,precision,0.03564422746562401,0.03221046704050745,0.001925731897710392,0.023260142134613953,0.01855573961828646,-0.02283487042327517,0.06935515469250307,False,False
deeppcb,500,open,baseline,medium,recall,0.09075758572020354,0.09449162372572029,0.050806906111195205,0.07868537185237301,0.02421554044447861,0.018530634620325608,0.1388401090844204,True,False
deeppcb,500,pin-hole,baseline,medium,ap50_95,-0.018247424528474165,0.02871011038248994,-0.026080433036136608,-0.005205915727373611,0.02963210464823563,-0.07881614436687423,0.06840431291212701,False,False
deeppcb,500,pin-hole,baseline,medium,ap50,0.013799369960488583,0.036806944213548576,-0.024444581134787202,0.008720577679749986,0.030939989296178215,-0.06813861653651328,0.08557977189601325,False,False
deeppcb,500,pin-hole,baseline,medium,precision,0.0171722873838831,0.12021965725038897,-0.014420702823166875,0.040990413937035064,0.07040940281354945,-0.1339162388641075,0.21589706673817763,False,False
deeppcb,500,pin-hole,baseline,medium,recall,0.02271050846362055,-0.0021276595744681437,0.0340425531914893,0.018208467360213903,0.01850060413760129,-0.027749581070841727,0.06416651579126953,False,False
deeppcb,500,short,baseline,medium,ap50_95,0.10366451400739057,0.09214573476249427,0.0944166050371773,0.09674228460235405,0.006101406223410632,0.08158555130718899,0.11189901789751912,True,False
deeppcb,500,short,baseline,medium,ap50,0.12300028386798056,0.13359228824744807,0.11863218777260642,0.12507491996267836,0.007692804283771065,0.10596493473113541,0.1441849051942213,True,False
deeppcb,500,short,baseline,medium,precision,0.147473038354767,0.14868981653371882,0.11421450293699675,0.13679245260849418,0.01956254062770725,0.08819640769472895,0.18538849752225942,True,False
deeppcb,500,short,baseline,medium,recall,0.0964858898058567,0.08263412824552119,0.09832635983263605,0.09248212596133798,0.008578119067599718,0.07117289688838813,0.11379135503428783,True,False
deeppcb,500,spur,baseline,medium,ap50_95,0.052676385516117974,0.044228391075274875,0.06086642887097371,0.052590401820788855,0.008319352157450277,0.03192398538793177,0.07325681825364594,True,False
deeppcb,500,spur,baseline,medium,ap50,0.06259919844441053,0.056844813707936814,0.041345859568796106,0.053596623907047815,0.010992686481355471,0.026289276863674573,0.08090397095042105,True,False
deeppcb,500,spur,baseline,medium,precision,0.06787519459595148,0.04229418909649507,0.036033956673371836,0.04873444678860613,0.01686931526370225,0.006828744568197792,0.09064014900901447,True,False
deeppcb,500,spur,baseline,medium,recall,0.07295612371936955,0.07766680342203547,0.07365695008997886,0.07475995907712796,0.0025416721729160778,0.06844609538111307,0.08107382277314285,True,False
